code,program,vocational,page
0101.00,"Agriculture Technology and Sciences, General Economic and business principles used in the organization, operation, and management of farm and agricultural businesses  ",TRUE,7
0102.00,Animal Science  ,TRUE,7
0102.10,Veterinary Technician (Licensed),TRUE,7
0102.20,Artificial Inseminator (Licensed) ,TRUE,7
0102.30,Dairy Science ,TRUE,7
0102.40,Equine Science ,TRUE,7
0103.00,Plant Science  ,TRUE,7
0103.10,Agricultural Pest Control Advisor and Operator (Licensed)  ,TRUE,7
0104.00,"Viticulture, Enology, and Wine Business  ",TRUE,7
0109.00,Horticulture ,TRUE,7
0109.10,Landscape Design and Maintenance ,TRUE,8
0109.20,Floriculture/Floristry ,TRUE,8
0109.30,Nursery Technology  ,TRUE,8
0109.40,Turfgrass Technology ,TRUE,8
0112.00,"Agriculture Business, Sales, and Service  ",TRUE,8
0113.00,Food Processing and Related Technologies  ,TRUE,8
0114.00,Forestry  ,TRUE,8
0115.00,Natural Resources  ,TRUE,8
0115.10,Parks and Outdoor Recreation  ,TRUE,8
0115.20,Wildlife and Fisheries  ,TRUE,8
0116.00,Agricultural Power Equipment Technology  ,TRUE,8
0199.00,Other Agriculture and Natural Resources  ,TRUE,8
0201.00,Architecture and Architectural Technology ,TRUE,10
0201.10,Landscape Architecture (transfer)  ,FALSE,10
0299.00,Other Architecture and Environmental Design  ,TRUE,10
0301.00,Environmental Science  ,FALSE,11
0302.00,Environmental Studies  ,FALSE,11
0303.00,Environmental Technology  ,TRUE,11
0399.00,"Environmental Sciences and Technologies, Other  ",FALSE,11
0401.00,"Biology, General ",FALSE,11
0402.00,"Botany, General  ",FALSE,11
0403.00,Microbiology  ,FALSE,11
0407.00,"Zoology, General ",FALSE,11
0408.00,Natural History ,FALSE,11
0410.00,Anatomy and Physiology ,FALSE,11
0430.00,Biotechnology and Biomedical Technology  ,TRUE,11
0499.00,Other Biological Sciences Specify ,FALSE,11
0501.00,"Business and Commerce, General  ",TRUE,12
0502.00,Accounting  ,TRUE,12
0502.10,Tax Studies  ,TRUE,12
0504.00,Banking and Finance  ,TRUE,12
0505.00,Business Administration  ,TRUE,12
0506.00,Business Management  ,TRUE,12
0506.30,Management Development and Supervision  ,TRUE,12
0509.10,Advertising  ,TRUE,12
0509.20,Purchasing ,TRUE,12
0509.40,Sales and Salesmanship  ,TRUE,12
0509.60,Display  ,TRUE,12
0509.70,E-Commerce (business emphasis)  ,TRUE,12
0510.00,Logistics and Materials Transportation  ,TRUE,13
0511.00,Real Estate ,TRUE,13
0051.11,Escrow ,TRUE,13
 0051.20,Insurance ,TRUE,13
0051.40,Office Technology/Office Computer Applications  ,TRUE,13
0514.10,Legal Office Technology ,TRUE,13
0514.20,Medical Office Technology  ,TRUE,13
0514.30,Court Reporting  ,TRUE,13
0516.00,Labor and Industrial Relations  ,TRUE,13
 0518.00,Customer Service  ,TRUE,14
 0599.00,Other Business and Management  ,TRUE,14
0601.00,"Media and Communications, General  ",FALSE,15
0602.00,Journalism  ,TRUE,15
0604.00,Radio and Television ,TRUE,15
0604.10,Radio  ,TRUE,15
0604.20,Television (including combined TV/film/video)  ,TRUE,15
0604.30,Broadcast Journalism  ,TRUE,15
0606.00,Public Relations  ,TRUE,15
0607.00,Technical Communication  ,TRUE,15
0610.00,Mass Communications  ,TRUE,16
0612.00,Film Studies (including combined film/video) ,FALSE,16
0612. 1,Film History and Criticism  ,FALSE,16
0612.20,Film Production  ,TRUE,16
0614.00,Digital Media  ,TRUE,16
0614.10,Multimedia  ,TRUE,16
 061.42,Electronic Game Design ,TRUE,16
0614.30,Website Design and Development  ,TRUE,16
 061.44,Animation ,TRUE,16
 061.45,Desktop Publishing  ,TRUE,16
 061.46,Computer Graphics and Digital Imagery ,TRUE,17
0699.00,Other Media and Communications  ,TRUE,17
0701.00,"Information Technology, General  ",TRUE,17
0702.00,Computer Information Systems  ,TRUE,17
0702.10,Software Applications  ,TRUE,17
0707.00,Computer Software Development  ,TRUE,17
0707.10,Computer Programming  ,TRUE,17
0707.20,Database Design and Administration  ,TRUE,18
0707.30,Computer Systems Analysis  ,TRUE,19
0708.00,Computer Infrastructure and Support  ,TRUE,19
0708.10,Computer Networking ,TRUE,19
0708.20,Computer Support ,TRUE,19
0709.00,World Wide Web Administration  ,TRUE,19
0709.10,E-Commerce (technology emphasis) ,TRUE,19
